"行","取引種別","取引日","ご利用店舗","取引金額","通貨コード","現地取引金額"
"1","お買い物","2020/04/17 20:16","ローソン　川崎上野川","469","JPY","469"
"2","チャージ","2020/04/17 20:16","ローソン　川崎上野川","3,000","JPY","3,000"
"3","お買い物","2020/04/15","ＦＵＪＩ上野川","1,896","JPY","1,896"
"4","お買い物","2020/04/15 16:43","ローソン　川崎梶ケ谷五丁目","127","JPY","127"
"5","お買い物","2020/04/12 19:11","ローソン　川崎梶ケ谷五丁目","127","JPY","127"
"6","お買い物","2020/04/11 14:27","ローソン　川崎梶ケ谷五丁目","138","JPY","138"
"7","お買い物","2020/04/08 16:31","ローソン　川崎梶ケ谷五丁目","138","JPY","138"
"8","お買い物","2020/04/07 17:10","ローソン　川崎梶ケ谷五丁目","101","JPY","101"
"9","お買い物","2020/04/06 14:16","ローソン　川崎梶ケ谷五丁目","181","JPY","181"
